production_id,branch_id,branch_name,production_type,good_used,quantity_used (tons),carbon_emission (tons CO2),water_usage (liters),waste_generated (tons)
1,1004,"Oneal, Rogers and Anthony",Automobile Parts,Timber,2944.14,6248.8,19790696.04,335.37
2,1005,Wright PLC,Furniture,Timber,2168.68,2057.79,16929505.9,786.12
3,1007,"Patterson, Cardenas and Nelson",Automobile Parts,Plastic,402.01,307.97,1709156.8,109.56
4,1005,Reynolds PLC,Electronics,Petroleum Products,3824.15,4427.14,29273652.13,1866.13
5,1004,Weber-Thomas,Furniture,Cotton,618.57,1232.38,5542841.01,189.42
6,1009,Perez-Bell,Electronics,Aluminum,4405.96,7605.8,43029649.2,671.45
7,1002,"Chang, Doyle and Mayer",Furniture,Petroleum Products,1334.26,2164.1,5174899.83,526.35
8,1006,Russo-Cook,Pharmaceuticals,Aluminum,4501.44,5070.85,6769149.81,1232.29
9,1002,"Massey, Franklin and Ramirez",Chemicals,Cotton,1852.95,2998.56,9796863.47,368.85
10,1005,Henderson-Hall,Electronics,Glass,3634.23,2375.54,35467042.42,805.78
11,1004,"Collins, Hensley and Flynn",Electronics,Timber,1132.71,2524.6,2431587.09,190.46
12,1007,"Bates, Johnson and Yates",Electronics,Wheat,2250.29,3935.06,17300160.05,1019.9
13,1010,"Kim, Morris and Flynn",Electronics,Cotton,4213.0,9486.55,39019007.3,868.1
14,1003,"Martin, Williams and Vasquez",Electronics,Petroleum Products,612.01,1830.52,4116144.08,252.43
15,1007,"Jackson, Contreras and Morales",Pharmaceuticals,Glass,3946.09,4918.81,21474224.78,940.26
16,1000,"Edwards, Stewart and Baldwin",Pharmaceuticals,Aluminum,3312.98,6997.03,30068124.92,714.7
17,1010,"Hall, Fleming and Perez",Food Processing,Glass,3702.21,8384.4,20418327.49,1612.77
18,1008,"Warren, Davis and Smith",Textile,Timber,2928.78,4979.75,4997741.44,384.18
19,1009,"Davis, Salazar and Mckenzie",Pharmaceuticals,Cotton,4875.89,11384.43,41229466.86,1609.2
20,1005,Simmons Inc,Furniture,Glass,526.59,1498.53,2945432.43,231.77
21,1002,"Thompson, Baker and Shaw",Automobile Parts,Cotton,4214.29,3836.8,21177333.87,1623.79
22,1003,Powell PLC,Furniture,Steel,1548.72,2979.62,8064998.48,189.1
23,1000,"Mcgee, Hurley and Orr",Pharmaceuticals,Glass,1808.16,4837.94,5336676.97,370.04
24,1006,"Garcia, Ellis and Sims",Textile,Glass,2466.47,7183.76,5754346.94,1027.32
25,1006,Kelley-Morales,Pharmaceuticals,Petroleum Products,689.94,1772.62,6282244.61,286.64
26,1004,Garrison-King,Electronics,Wheat,4403.27,10506.64,6707590.06,2041.71
27,1006,Buck-Vega,Electronics,Timber,4908.15,9199.34,25294913.0,1314.39
28,1001,"Rios, Patterson and Ochoa",Chemicals,Steel,429.54,335.63,3354432.52,169.05
29,1004,James-Dodson,Chemicals,Glass,2655.45,4196.85,24332005.79,923.41
30,1003,Herman Ltd,Pharmaceuticals,Petroleum Products,1062.23,785.84,8221211.76,220.12
31,1001,Casey-Hernandez,Chemicals,Steel,3023.6,4395.48,5457684.16,985.42
32,1001,"Irwin, Wolfe and Cunningham",Furniture,Petroleum Products,1859.94,2654.45,8699577.4,537.96
33,1005,"Schneider, Gallagher and Bell",Chemicals,Glass,3485.54,2015.99,21108889.2,1110.1
34,1001,Moore-Robinson,Chemicals,Glass,2439.65,2875.08,18450276.17,897.45
35,1004,"Hawkins, Wright and Nelson",Food Processing,Plastic,4654.67,5276.66,29264322.47,1008.79
36,1001,Barajas-Sims,Chemicals,Steel,2367.09,5187.56,3220526.92,696.76
37,1007,Wilson-Gonzales,Textile,Plastic,742.31,1773.94,2692464.23,81.81
38,1010,James-Rowe,Electronics,Timber,1342.84,2427.55,4628410.56,175.64
39,1004,Howell Group,Electronics,Aluminum,4908.91,6736.87,32581372.07,1434.35
40,1004,"Golden, Pierce and Hale",Electronics,Glass,4295.33,11611.82,31176958.68,1098.17
41,1001,"Benton, Williamson and Price",Furniture,Wheat,1538.11,4407.66,4880385.86,278.51
42,1007,Lopez Group,Automobile Parts,Timber,3182.59,7930.5,4530588.94,738.9
43,1008,Sanchez PLC,Electronics,Petroleum Products,1879.68,5523.53,9192583.65,466.35
44,1001,Hart Inc,Food Processing,Aluminum,919.47,2569.16,8580920.47,137.28
45,1010,"Aguilar, Harris and Lyons",Textile,Plastic,872.06,1268.26,2667115.86,312.67
46,1001,Ibarra Inc,Electronics,Steel,4563.42,12008.15,41658667.77,1511.81
47,1004,Johnson Inc,Electronics,Wheat,3835.84,7585.31,19703791.93,692.18
48,1008,"Archer, Oneill and Hayes",Furniture,Glass,476.57,1401.76,2956630.71,61.69
49,1005,"Taylor, Adams and Harris",Chemicals,Petroleum Products,3910.31,11510.05,29036530.85,480.41
50,1003,Mcdonald Inc,Automobile Parts,Petroleum Products,521.58,1040.98,5140058.06,153.74
51,1001,Peterson-Hicks,Pharmaceuticals,Timber,2642.99,7541.54,9753443.33,538.32
52,1005,Collins and Sons,Furniture,Wheat,4890.25,12810.54,7638028.83,2191.7
53,1004,Blair-Huffman,Electronics,Timber,3486.0,7837.38,28719949.3,1273.43
54,1000,"Young, Ford and Bishop",Chemicals,Steel,4751.51,12612.58,7491606.09,1162.27
55,1002,"Cox, Chapman and Martin",Textile,Aluminum,336.83,268.34,3327616.72,86.43
56,1007,Jackson-Scott,Furniture,Steel,1080.0,2979.24,1497374.13,219.58
